USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE,EVENT_VALUE
1,campuspulse-i33-e8456453,1,click,0.61
1,campuspulse-i33-e8456453,2,click,0.7
1,campuspulse-i33-e8456453,3,click,0.67
1,campuspulse-i33-e8456453,4,click,0.61
1,campuspulse-i33-e8456453,5,rsvp,0.81
1,campuspulse-i33-e8550892,6,click,0.56
1,campuspulse-i33-e8550893,7,click,0.66
1,campuspulse-i33-e8550894,8,click,0.55
1,campuspulse-i33-e8456452,9,click,0.58
1,campuspulse-i33-e8456453,10,click,0.51
1,campuspulse-i33-e8456454,11,click,0.53
1,campuspulse-i33-e8456455,12,click,0.65
1,campuspulse-i33-e8456456,13,click,0.59
1,campuspulse-i33-e8456457,14,click,0.61
1,campuspulse-i33-e8456458,15,rvsp,0.78
1,campuspulse-i33-e8588628,16,click,0.66
1,campuspulse-i33-e8588629,17,click,0.66
1,campuspulse-i33-e8588630,18,click,0.5
1,campuspulse-i33-e8588631,19,click,0.67
1,campuspulse-i33-e8588632,20,click,0.65
1,campuspulse-i33-e8515659,21,click,0.67
1,campuspulse-i33-e8499531,22,click,0.65
1,campuspulse-i33-e8456432,23,click,0.56
1,campuspulse-i33-e8393405,24,rsvp,0.91
33,campuspulse-i33-e8549145,25,click,0.63
22,campuspulse-i33-e8456324,26,click,0.53
24,campuspulse-i33-e8528429,27,rsvp,0.93
37,campuspulse-i33-e8517501,28,click,0.61
17,campuspulse-i33-e8375679,29,click,0.61
6,campuspulse-i33-e8319083,30,click,0.61
22,campuspulse-i33-e8369108,31,click,0.68
29,campuspulse-i33-e8470620,32,click,0.56
36,campuspulse-i33-e8501062,33,click,0.55
2,campuspulse-i33-e8470998,34,click,0.52
28,campuspulse-i33-e8584788,35,click,0.61
19,campuspulse-i33-e8378765,36,click,0.68
40,campuspulse-i33-e8440183,37,click,0.53
29,campuspulse-i33-e8493928,38,click,0.52
25,campuspulse-i33-e8230279,39,click,0.68
38,campuspulse-i33-e8106132,40,click,0.55
23,campuspulse-i33-e8254158,41,rsvp,0.76
18,campuspulse-i33-e8186467,42,click,0.67
10,campuspulse-i33-e8413347,43,click,0.61
3,campuspulse-i33-e8281807,44,click,0.61
4,campuspulse-i33-e8308732,45,click,0.57
18,campuspulse-i33-e8249630,46,click,0.52
40,campuspulse-i33-e8387757,47,rsvp,0.73
25,campuspulse-i33-e8542722,48,rsvp,0.72
30,campuspulse-i33-e8470576,49,click,0.67
14,campuspulse-i33-e8405360,50,click,0.65
27,campuspulse-i33-e8121739,51,rsvp,0.96
22,campuspulse-i33-e8404946,52,click,0.54
39,campuspulse-i33-e8320680,53,click,0.55
28,campuspulse-i33-e8568290,54,click,0.57
20,campuspulse-i33-e8518255,55,click,0.65
30,campuspulse-i33-e8588660,56,click,0.68
28,campuspulse-i33-e8102322,57,click,0.54
33,campuspulse-i33-e8319273,58,click,0.52
9,campuspulse-i33-e8281824,59,click,0.67
14,campuspulse-i33-e8541373,60,rsvp,0.88
10,campuspulse-i33-e8555939,61,click,0.59
34,campuspulse-i33-e8586322,62,click,0.5
9,campuspulse-i33-e8293156,63,click,0.62
30,campuspulse-i33-e8561768,64,click,0.69
7,campuspulse-i33-e8369072,65,click,0.7
20,campuspulse-i33-e8479638,66,rsvp,0.76
9,campuspulse-i33-e8106132,67,click,0.51
30,campuspulse-i33-e8518255,68,click,0.66
12,campuspulse-i33-e8319320,69,click,0.63
8,campuspulse-i33-e8426796,70,click,0.55
25,campuspulse-i33-e8319143,71,click,0.53
23,campuspulse-i33-e8320665,72,click,0.6
13,campuspulse-i33-e8438834,73,click,0.58
25,campuspulse-i33-e8578557,74,click,0.61
12,campuspulse-i33-e8358047,75,click,0.62
23,campuspulse-i33-e8470577,76,click,0.7
11,campuspulse-i33-e8373573,77,click,0.54
37,campuspulse-i33-e8544398,78,click,0.68
22,campuspulse-i33-e8374743,79,click,0.53
38,campuspulse-i33-e8165493,80,rsvp,0.99
